seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	10431	10490	60	*	X00001	100287102	11874	14409	2536	+	1383	upstream	1383	DDX11L1
chr1	2707705	2707719	15	*	X00035	100287898	2572807	2706230	133424	-	1474	upstream	1474	TTC34
chr1	9148114	9148213	100	*	X00215	6518	9097005	9148510	51506	-	0	inside	296	SLC2A5
chr1	19622603	19622701	99	*	X00258	100506730	19619741	19622230	2490	-	372	upstream	372	LOC100506730
chr1	22961947	22962156	210	*	X00270	712	22963118	22966175	3058	+	961	upstream	961	C1QA
chr1	89739142	89739326	185	*	X00488	115362	89724634	89738544	13911	-	597	upstream	597	GBP5
chr1	152486015	152486149	135	*	X00664	54544	152486978	152488481	1504	+	828	upstream	828	CRCT1
chr1	152487039	152487143	105	*	X00665	54544	152486978	152488481	1504	+	0	inside	60	CRCT1
chr1	152595998	152596117	120	*	X00681	353142	152595310	152595579	270	-	418	upstream	418	LCE3A
chr1	152681498	152681617	120	*	X00689	199834	152681523	152681910	388	+	0	overlapStart	0	LCE4A
chr1	152691164	152691328	165	*	X00691	100129271	152691998	152692905	908	+	669	upstream	669	C1orf68
chr1	152747784	152747792	9	*	X00701	353137	152748848	152749445	598	+	1055	upstream	1055	LCE1F
chr1	152747893	152747933	41	*	X00702	353137	152748848	152749445	598	+	914	upstream	914	LCE1F
chr1	152748807	152748941	135	*	X00703	353137	152748848	152749445	598	+	0	overlapStart	0	LCE1F
chr1	152757537	152757671	135	*	X00704	353135	152758753	152760901	2149	+	1081	upstream	1081	LCE1E
chr1	152769336	152769361	26	*	X00706	353134	152769227	152770657	1431	+	0	inside	108	LCE1D
chr1	152799893	152800042	150	*	X00710	353131	152799949	152800573	625	+	0	overlapStart	0	LCE1A
chr1	152813591	152813695	105	*	X00711	448835	152815330	152816459	1130	+	1634	upstream	1634	LCE6A
chr1	152881112	152881246	135	*	X00715	3713	152881039	152884362	3324	+	0	inside	72	IVL
chr1	154475523	154475672	150	*	X00724	126669	154451954	154474526	22573	-	996	upstream	996	SHE
chr1	180198077	180198211	135	*	X00801	89884	180199433	180244188	44756	+	1221	upstream	1221	LHX4
chr1	180407967	180408086	120	*	X00803	100423032	180407449	180407525	77	-	441	upstream	441	MIR3121
chr1	227749186	227749425	240	*	X00903	339500	227751220	227910352	159133	+	1794	upstream	1794	ZNF678
chr1	228003491	228003745	255	*	X00913	339501	228003418	228034171	30754	+	0	inside	72	PRSS38
chr1	247694442	247694516	75	*	X00973	148824	247687981	247694106	6126	-	335	upstream	335	GCSAML-AS1
chr1	247694813	247694835	23	*	X00974	148824	247687981	247694106	6126	-	706	upstream	706	GCSAML-AS1
chr1	247695805	247695879	75	*	X00975	148824	247687981	247694106	6126	-	1698	upstream	1698	GCSAML-AS1
chr1	248111194	248111313	120	*	X00998	391190	248112160	248113098	939	+	846	upstream	846	OR2L8
chr1	248223051	248223140	90	*	X01002	391192	248223984	248224922	939	+	843	upstream	843	OR2L3
chr1	248459028	248459065	38	*	X01018	127064	248457918	248458880	963	-	147	upstream	147	OR2T12
chr10	95218	95277	60	*	X01046	347688	92828	95178	2351	-	39	upstream	39	TUBB8
chr10	27703014	27703133	120	*	X01104	374308	27687117	27703297	16181	-	0	inside	163	PTCHD3
chr10	27703178	27703297	120	*	X01105	374308	27687117	27703297	16181	-	0	inside	0	PTCHD3
chr10	37413666	37413770	105	*	X01151	91074	37414785	37521495	106711	+	1014	upstream	1014	ANKRD30A
chr10	37414221	37414340	120	*	X01152	91074	37414785	37521495	106711	+	444	upstream	444	ANKRD30A
chr10	37414611	37414745	135	*	X01153	91074	37414785	37521495	106711	+	39	upstream	39	ANKRD30A
chr10	37414956	37415045	90	*	X01154	91074	37414785	37521495	106711	+	0	inside	170	ANKRD30A
chr10	38383428	38383562	135	*	X01227	7587	38383264	38412278	29015	+	0	inside	163	ZNF37A
chr10	38464471	38464635	165	*	X01235	100129055	38464599	38503273	38675	+	0	overlapStart	0	CCNYL4
chr10	38691575	38691634	60	*	X01240	285961	38671998	38691780	19783	-	0	inside	145	SEPTIN7P9
chr10	82295723	82295827	105	*	X01402	387694	82297658	82406316	108659	+	1830	upstream	1830	SH2D4B
chr10	123735148	123735186	39	*	X01480	54780	123716603	123734743	18141	-	404	upstream	404	NSMCE4A
chr10	123735204	123735282	79	*	X01481	54780	123716603	123734743	18141	-	460	upstream	460	NSMCE4A
